tema,status,observacao,tese
500,OK,,"Nas ações de reintegração de posse motivadas por inadimplemento de arrendamento mercantil financeiro, quando o produto da soma do VRG quitado com o valor da venda do bem for maior que o total pactuado como VRG na contratação, será direito do arrendatário receber a diferença, cabendo, porém, se estipulado no contrato, o prévio desconto de outras despesas ou encargos contratuais."
511,OK,,"É devida a restituição da denominada reserva de poupança a ex-participantes de plano de benefícios de previdência privada, devendo ser corrigida monetariamente conforme os índices que reflitam a real inflação ocorrida no período, mesmo que o estatuto da entidade preveja critério de correção diverso, devendo ser incluídos os expurgos inflacionários (Súmula 289/STJ)."
512,OK,,"A atualização monetária das contribuições devolvidas pela entidade de previdência privada ao associado deve ser calculada pelo IPC, por ser o índice que melhor traduz a perda do poder aquisitivo da moeda."""
513,OK,,"A Súmula 252/STJ, por ser específica para a correção de saldos do FGTS, não tem aplicação nas demandas que envolvem previdência privada."
514,OK,,"A quitação relativa à restituição, por instrumento de transação, somente alcança as parcelas efetivamente quitadas, não tendo eficácia em relação às verbas por ele não abrangidas. Portanto, se os expurgos inflacionários não foram pagos aos participantes que faziam jus à devolução das parcelas da contribuição, não se pode considerá-los saldados por recibo de quitação passado de formageral."
515,OK,,"No âmbito do Direito Privado, é de cinco anos o prazo prescricional para ajuizamento da execução individual em pedido de cumprimento de sentença proferida em Ação Civil Pública."
517,OK,,"A despeito de situações fáticas variadas no tocante ao descumprimento do dever de segurança e vigilância contínua das vias férreas, a responsabilização da concessionária é uma constante, passível de ser elidida tão somente quando cabalmente comprovada a culpa exclusiva da vítima. Para os fins da sistemática prevista no art. 543-C do CPC, citam-se algumas situações: (i) existência de cercas ao longo da via, mas caracterizadas pela sua vulnerabilidade, insuscetíveis de impedir a abertura de passagens clandestinas, ainda quando existente passarela nas imediações do local do sinistro; (ii) a própria inexistência de cercadura ao longo de toda a ferrovia; (iii) a falta de vigilância constante e de manutenção da incolumidade dos muros destinados à vedação do acesso à linha férrea pelos pedestres; (iv) a ausência parcial ou total de sinalização adequada a indicar o perigo representado pelo tráfego das composições."
518,OK,,"A despeito de situações fáticas variadas no tocante ao descumprimento do dever de segurança e vigilância contínua das vias férreas, a responsabilização da concessionária é uma constante, passível de ser elidida tão somente quando cabalmente comprovada a culpa exclusiva da vítima. No caso de atropelamento de pedestre em via férrea, configura-se a concorrência de causas, impondo a redução da indenização por dano moral pela metade, quando: (i) a concessionária do transporte ferroviário descumpre o dever de cercar e fiscalizar os limites da linha férrea, mormente em locais urbanos e populosos, adotando conduta negligente no tocante às necessárias práticas de cuidado e vigilância tendentes a evitar a ocorrência de sinistros; e (ii) a vítima adota conduta imprudente, atravessando a via férrea em local inapropriado."
519,OK,,"O prazo prescricional da ação individual de cobrança relativa a expurgos inflacionários incidentes sobre saldo de caderneta de poupança proposta contra o Estado de Minas Gerais, sucessor da MINAS CAIXA, é vintenário, não se aplicando à espécie o Decreto nº 20.910/32 que disciplina a prescrição contra a Fazenda Pública."
521,OK,,"Na hipótese de contrato originário de mútuo sem cobertura do FCVS, celebrado até 25/10/96, transferido sem a anuência do agente financiador e fora das condições estabelecidas pela Lei nº 10.150/2000, o cessionário não tem legitimidade ativa para ajuizar ação postulando a revisão do respectivo contrato."
530,OK,,"A notificação extrajudicial realizada e entregue no endereço do devedor, por via postal e com aviso de recebimento, é válida quando realizada por Cartório de Títulos e Documentos de outra Comarca, mesmo que não seja aquele do domicílio do devedor."
540,OK,,"O auxílio cesta-alimentação, parcela concedida a título indenizatório aos empregados em atividade, mediante convenção coletiva de trabalho, não se incorpora aos proventos da complementação de aposentadoria pagos por entidade fechada de previdência privada."
542,OK,,"A indenização do seguro DPVAT, em caso de invalidez parcial permanente do beneficiário, será paga de forma proporcional ao grau da invalidez."
558,OK,,"Prescreve o art. 38 da Lei nº 10.150/2000 que as instituições financeiras captadoras de depósitos à vista e que operem crédito imobiliário estão autorizadas, e não obrigadas, a promover contrato de Arrendamento Imobiliário Especial com Opção de Compra, dos imóveis que tenham arrematado, adjudicado ou recebido em dação em pagamento por força de financiamentos habitacionais por elas concedidos."
560,OK,,"Em se tratando de pedido relativo a valores para cujo ressarcimento não havia previsão contratual (pactuação prevista em instrumento, em regra, nominado de 'TERMO DE CONTRIBUIÇÃO'), a pretensão prescreve em 20 (vinte) anos, na vigência do Código Civil de 1916, e em 3 (três) anos, na vigência do Código Civil de 2002, por se tratar de demanda fundada em enriquecimento sem causa (art. 206, § 3º, inciso IV), observada, igualmente, a regra de transição prevista no art. 2.028 do Código Civil de 2002."
574,OK,,"A pretensão de ressarcimento do valor pago pelo custeio de Plantas Comunitárias de Telefonia (PCTs), não existindo previsão contratual de reembolso pecuniário ou por ações da companhia, submete-se ao prazo de prescrição de 20 (vinte) anos, na vigência do Código Civil de 1916 (art. 177), e de 3 (três) anos, na vigência do Código Civil de 2002, por se tratar de demanda fundada em enriquecimento sem causa (art. 206, § 3º, inc. IV), observada a fórmula de transição prevista no art. 2.028 do mesmo diploma legal."
575,OK,,"1. A participação financeira do consumidor no custeio de construção de rede elétrica não é, por si só, ilegal, uma vez que, na vigência do Decreto n. 41.019/57, havia previsão normativa de obras que deviam ser custeadas pela concessionária (art. 141), pelo consumidor (art. 142), ou por ambos (art.138 e art. 140).2. Em contratos regidos pelo Decreto n. 41.019/57, o consumidor que solicitara a extensão da rede de eletrificação rural não tem direito à restituição dos valores aportados, salvo na hipótese de (i) ter adiantado parcela que cabia à concessionária - em caso de responsabilidade conjunta (arts. 138 e 140) - ou (ii) ter custeado obra cuja responsabilidade era exclusiva da concessionária (art. 141). Leva-se em consideração, em ambos os casos, a normatização editada pelo Departamento Nacional de Águas e Energia Elétrica - DNAEE, que definia os encargos de responsabilidade da concessionária e do consumidor, relativos a pedidos de extensão de redes de eletrificação, com base na natureza de cada obra.3. À míngua de comprovação de que os valores cuja restituição se pleiteia eram de responsabilidade da concessionária, não sendo o caso de inversão do ônus da prova e não existindo previsão contratual para o reembolso, o pedido de devolução deve ser julgado improcedente."
576,OK,,"A Cédula de Crédito Bancário é título executivo extrajudicial, representativo de operações de crédito de qualquer natureza, circunstância que autoriza sua emissão para documentar a abertura de crédito em conta-corrente, nas modalidades de crédito rotativo ou cheque especial."
610,OK,,"Na vigência dos contratos de plano ou de seguro de assistência à saúde, a pretensão condenatória decorrente da declaração de nulidade de cláusula de reajuste nele prevista prescreve em 20 anos (art. 177 do CC/1916) ou em 3 anos (art. 206, § 3º, IV, do CC/2002), observada a regra de transição do art. 2.028 do CC/2002."
618,OK,,"Nos contratos bancários celebrados até 30/04/2008 (fim da vigência da Resolução CMN 2.303/96) era válida a pactuação das Tarifas de Abertura de Crédito (TAC) e de Emissão de Carnê (TEC), ou outra denominação para o mesmo fato gerador, ressalvado o exame de abusividade em cada caso concreto."
619,OK,,"Com a vigência da Resolução CMN 3.518/2007, em 30/04/2008, a cobrança por serviços bancários prioritários para pessoas físicas ficou limitada às hipóteses taxativamente previstas em norma padronizadora expedida pela autoridade monetária. Desde então, não tem respaldo legal a contratação da Tarifa de Emissão de Carnê (TEC) e da Tarifa de Abertura de Crédito (TAC), ou outra denominaçãopara o mesmo fatogerador."
620,OK,,"Permanece válida a tarifa de cadastro expressamente tipificada em ato normativo padronizador da autoridade monetária, a qual somente pode ser cobranda do início do relacionamento entre o consumidor e a instituição financeira."
621,OK,,"Podem as partes convencionar o pagamento do Imposto sobre Operações Financeiras e de Crédito (IOF) por meio de financiamento acessório ao mútuo principal, sujeitando-o aos mesmos encargos contratuais."
628,OK,,"O prazo para ajuizamento de ação monitória em face do emitente de cheque sem força executiva é quinquenal, a contar do dia seguinte à data de emissão estampada na cártula."
637,OK,,"I -os créditos resultantes de honorários advocatícios têm natureza alimentar e equiparam-se aos trabalhistas para efeito de habilitação em falência, seja pela regência do Decreto-Lei n. 7.661/1945, seja pela forma prevista na Lei n. 11.101/2005, observado o limite de valor previsto no artigo 83, inciso I, do referido Diploma legal. II - são créditos extraconcursais os honorários de advogado resultantes de trabalhos prestados à massa falida, depois do decreto de falência, nos termos dos arts. 84 e 149 da Lei n. 11.101/2005."
650,OK,,"O benefício especial de renda certa, instituído pela Caixa de Previdência dos Funcionários do Banco do Brasil - PREVI, é devido exclusivamente aos assistidos que, no período de atividade, contribuíram por mais de 360 meses (30 anos) para o plano de benefícios."
654,OK,,A legislação sobre cédulas de crédito rural admite o pacto de capitalização de juros em periodicidade inferior à semestral.
658,OK,,"Converte-se a obrigação de subscrever ações em perdas e danos multiplicando-se o número de ações devidas pela cotação destas no fechamento do pregão da Bolsa de Valores no dia do trânsito em julgado da ação de complementação de ações, com juros de mora desde a citação."
659,OK,,"Sobre o valor dos dividendos não pagos, incide correção monetária desde a data de vencimento da obrigação, nos termos do art. 205, § 3º, Lei 6.404/76, e juros de mora desde a citação."
662,OK,,"Validade da utilização de tabela do CNSP para se estabelecer a proporcionalidade da indenização ao grau de invalidez, na hipótese de sinistro anterior a 16/12/2008, data da entrada em vigor da Medida Provisória 451/08."
668,OK,,"O termo inicial do prazo prescricional, na ação de indenização, é a data em que o segurado teve ciência inequívoca do caráter permanente da invalidez."
669,OK,,Cabimento da cumulação de dividendos e juros sobre capital próprio nas demandas por complementação de ações de empresas de telefonia.
678,OK,,"Aplicam-se os índices de deflação na correção monetária de crédito oriundo de título executivo judicial, preservado o seu valor nominal."
722,OK,,"Nos contratos firmados na vigência da Lei n. 10.931/2004, compete ao devedor, no prazo de 5 (cinco) dias após a execução da liminar na ação de busca e apreensão, pagar a integralidade da dívida - entendida esta como os valores apresentados e comprovados pelo credor na inicial -, sob pena de consolidação da propriedade do bem móvel objeto de alienação fiduciária."
725,OK,,"No regime próprio da Lei n. 9.492/1997, legitimamente protestado o título de crédito ou outro documento de dívida, salvo inequívoca pactuação em sentido contrário, incumbe ao devedor, após a quitação da dívida, providenciar o cancelamento do protesto."
736,OK,,"a) Nos planos de benefícios de previdência privada fechada, patrocinados pelos entes federados - inclusive suas autarquias, fundações, sociedades de economia mista e empresas controladas direta ou indiretamente -, é vedado o repasse de abono e vantagens de qualquer natureza para os benefícios em manutenção, sobretudo a partir da vigência da Lei Complementar n. 108/2001, independentemente das disposições estatutárias e regulamentares;b) Não é possível a concessão de verba não prevista no regulamento do plano de benefícios de previdência privada, pois a previdência complementar tem por pilar o sistema de capitalização, que pressupõe a acumulação de reservas para assegurar o custeio dos benefícios contratados, em um período de longo prazo."
741,OK,,"Os dividendos são devidos durante todo o período em que o consumidor integrou ou deveria ter integrado os quadros societários. No caso das ações convertidas em perdas e danos, é devido o pagamento de dividendos desde a data em que as ações deveriam ter sido subscritas, até a data do trânsito em julgado do processo de conhecimento, incidindo juros de mora e correção monetária segundo os critérios do item anterior."
793,OK,,"Diante da presunção legal de veracidade e publicidade inerente aos registros do cartório de distribuição judicial, a reprodução objetiva, fiel, atualizada e clara desses dados na base de órgão de proteção ao crédito - ainda que sem a ciência do consumidor-, não tem o condão de ensejar obrigação de reparação de danos."
806,OK,,"Diante da presunção legal de veracidade e publicidade inerente aos registros do cartório de protesto, a reprodução objetiva, fiel, atualizada e clara desses dados na base de órgão de proteção ao crédito - ainda que sem a ciência do consumidor - não tem o condão de ensejar obrigação de reparação de danos."
835,OK,,"Nos contratos de financiamento celebrados no âmbito do SFH, sem cláusula de garantia de cobertura do FCVS, o saldo devedor residual deverá ser suportado pelo mutuário."
873,OK,,"Nas demandas por complementação de ações de empresas de telefonia, admite-se a condenação ao pagamento de dividendos e juros sobre capital próprio independentemente de pedido expresso."
882,OK,,As taxas de manutenção criadas por associações de moradores não obrigam os não associados ou que a elas não anuíram.
883,OK,,"A pretensão de cobrança e a pretensão a diferenças de valores do seguro obrigatório (DPVAT) prescrevem em três anos, sendo o termo inicial, no último caso, o pagamento administrativo considerado a menor."
885,OK,,"A recuperação judicial do devedor principal não impede o prosseguimento das execuções nem induz suspensão ou extinção de ações ajuizadas contra terceiros devedores solidários ou coobrigados em geral, por garantia cambial, real ou fidejussória, pois não se lhes aplicam a suspensão prevista nos arts. 6º, caput, e 52, inciso III, ou a novação a que se refere o art. 59, caput, por força do que dispõe o art. 49, § 1º, todos da Lei n. 11.101/2005."
905,MANUAL,Tese muito grande. Consultar manualmente.,**_Tese muito grande. Buscar manualmente._**
907,OK,,"O regulamento aplicável ao participante de plano fechado de previdência privada para fins de cálculo da renda mensal inicial do benefício complementar é aquele vigente no momento da implementação das condições de elegibilidade, haja vista a natureza civil e estatutária, e não o da data da adesão, assegurado o direito acumulado."
908,OK,,Impossibilidade de revisão de cláusulas contratuais em ação de prestação de contas.
919,OK,,"I - A pretensão de repetição de indébito de contrato de cédula de crédito rural prescreve no prazo de vinte anos, sob a égide do art. 177 do Código Civil de 1916, e de três anos, sob o amparo do art. 206, §3º, IV, do Código Civil de 2002, observada a norma de transição do art. 2.028 desse último Diploma Legal; II - O termo inicial da prescrição da pretensão de repetição de indébito de contrato de cédula de crédito rural é a data da efetiva lesão, ou seja, do pagamento."
921,OK,,"1. O tabelião, antes de intimar o devedor por edital, deve esgotar os meios de localização, notadamente por meio do envio de intimação por via postal, no endereço fornecido por aquele que procedeu ao apontamento do protesto;2. É possível, à escolha do credor, o protesto de cédula de crédito bancário garantida por alienação fiduciária, no tabelionato em que se situa a praça de pagamento indicada no título ou no domicílio do devedor."
936,OK,,"I - A patrocinadora não possui legitimidade passiva para litígios que envolvam participante/assistido e entidade fechada de previdência complementar, ligados estritamente ao plano previdenciário, como a concessão e a revisão de benefício ou o resgate da reserva de poupança, em virtude de sua personalidade jurídica autônoma. II - Não se incluem no âmbito da matéria afetada as causas originadas de eventual ato ilícito, contratual ou extracontratual, praticado pelo patrocinador."
938,OK,,"(i) Incidência da prescrição trienal sobre a pretensão de restituição dos valores pagos a título de comissão de corretagem ou de serviço de assistência técnico-imobiliária (SATI), ou atividade congênere (artigo 206, § 3º, IV, CC). (vide REsp n. 1.551.956/SP) (ii) Validade da cláusula contratual que transfere ao promitente-comprador a obrigação de pagar a comissão de corretagem nos contratos de promessa de compra e venda de unidade autônoma em regime de incorporação imobiliária, desde que previamente informado o preço total da aquisição da unidade autônoma, com o destaque do valor da comissão de corretagem; (vide REsp n. 1.599.511/SP) (ii, parte final) Abusividade da cobrança pelo promitente-vendedor do serviço de assessoria técnico- imobiliária (SATI), ou atividade congênere, vinculado à celebração de promessa de compra e venda de imóvel.(vide REspn. 1.599.511/SP)"
941,OK,,"Nos planos de benefícios de previdência complementar administrados por entidade fechada, a previsão regulamentar de reajuste, com base nos mesmos índices adotados pelo Regime Geral de Previdência Social, não inclui a parte correspondente a aumentos reais."
942,OK,,"Em qualquer ação utilizada pelo portador para cobrança de cheque, a correção monetária incide a partir da data de emissão estampada na cártula, e os juros de mora a contar da primeira apresentação à instituição financeira sacada ou câmara de compensação."
943,OK,,"1.1. Em caso de migração de plano de benefícios de previdência complementar, não é cabível o pleito de revisão da reserva de poupança ou de benefício, com aplicação do índice de correção monetária. 1.2. Em havendo transação para migração de plano de benefícios, em observância à regra da indivisibilidade da pactuação e proteção ao equilíbrio contratual, a anulação de cláusula que preveja concessão de vantagem contamina todo o negócio jurídico, conduzindo ao retorno ao <i>status quo ante</i>."
944,OK,,"Nos planos de benefícios de previdência privada patrocinados pelos entes federados - inclusive suas autarquias, fundações, sociedades de economia mista e empresas controladas direta ou indiretamente -, para se tornar elegível a um benefício de prestação que seja programada e continuada, é necessário que o participante previamente cesse o vínculo laboral com o patrocinador, sobretudo a partir da vigência da Lei Complementar nº 108/2001, independentemente das disposições estatutárias e regulamentares."
945,OK,,"a) a pactuação da pós-datação de cheque, para que seja hábil a ampliar o prazo de apresentação à instituição financeira sacada, deve espelhar a data de emissão estampada no campo específico da cártula;b) sempre será possível, no prazo para a execução cambial, o protesto cambiário de cheque, com a indicação do emitente como devedor."
949,OK,,"Na vigência do Código Civil de 2002, é quinquenal o prazo prescricional para que o condomínio geral ou edifício (horizontal ou vertical) exercite a pretensão de cobrança da taxa condominial ordinária ou extraordinária constante em instrumento público ou particular, a contar do dia seguinte ao vencimento daprestação."
953,OK,,A cobrança de juros capitalizados nos contratos de mútuo é permitida quando houver expressa pactuação.
955,OK,,**Acesse o conteúdo da tese aqui.**
957,OK,,"As empresas adquirentes da carga transportada pelo navio Vicuña no momento de sua explosão, no Porto de Paranaguá/PR, em 15/11/2004, não respondem pela reparação dos danos alegadamente suportados por pescadores da região atingida, haja vista a ausência de nexo causal a ligar tais prejuízos (decorrentes da proibição temporária da pesca) à conduta por elas perpetrada (mera aquisição pretérita do metanol transportado)."
958,OK,,"2.1. Abusividade da cláusula que prevê a cobrança de ressarcimento de serviços prestados por terceiros, sem a especificação do serviço a ser efetivamente prestado;2.2. Abusividade da cláusula que prevê o ressarcimento pelo consumidor da comissão do correspondente bancário, em contratos celebrados a partir de 25/02/2011, data de entrada em vigor da Res.-CMN 3.954/2011, sendo válida a cláusula no período anterior a essa resolução, ressalvado o controle da onerosidade excessiva;2.3. Validade da tarifa de avaliação do bem dado em garantia, bem como da cláusula que prevê o ressarcimento de despesa com o registro do contrato, ressalvadas a:2.3.1. abusividade da cobrança por serviço não efetivamente prestado; e a2.3.2. possibilidade de controle da onerosidade excessiva, em cada caso concreto."
960,OK,,"Ressalvada a denominada Faixa 1, em que não há intermediação imobiliária, é válida a cláusula contratual que transfere ao promitente-comprador a obrigação de pagar a comissão de corretagem nos contratos de promessa de compra e venda do Programa Minha Casa, Minha Vida, desde que previamente informado o preço total da aquisição da unidade autônoma, com o destaque do valor da comissão de corretagem."
968,OK,,Descabimento da repetição do indébito com os mesmos encargos do contrato.
970,OK,,"A cláusula penal moratória tem a finalidade de indenizar pelo adimplemento tardio da obrigação, e, em regra, estabelecida em valor equivalente ao locativo, afasta-se sua cumulação com lucros cessantes."
971,OK,,"No contrato de adesão firmado entre o comprador e a construtora/incorporadora, havendo previsão de cláusula penal apenas para o inadimplemento do adquirente, deverá ela ser considerada para a fixação da indenização pelo inadimplemento do vendedor. As obrigações heterogêneas (obrigações de fazer e de dar) serão convertidas em dinheiro, por arbitramento judicial."
972,OK,,"1 - Abusividade da cláusula que prevê o ressarcimento pelo consumidor da despesa com o registro do pré-gravame, em contratos celebrados a partir de 25/02/2011, data de entrada em vigor da Res.- CMN 3.954/2011, sendo válida a cláusula pactuada no período anterior a essa resolução, ressalvado o controle da onerosidade excessiva. 2 - Nos contratos bancários em geral, o consumidor não pode ser compelido a contratar seguro com a instituição financeira ou com seguradora por ela indicada. 3 - A abusividade de encargos acessórios do contrato não descaracteriza a mora."
977,OK,,"A partir da vigência da Circular/SUSEP nº 11/1996, é possível ser pactuado que os reajustes dos benefícios dos planos administrados pelas entidades abertas de previdência complementar passem a ser feitos com utilização de um Índice Geral de Preços de Ampla Publicidade (INPC/IBGE, IPCA/IBGE, IGPM/FGV, IGP-DI/FGV, IPC/FGV ou IPC/FIPE). Na falta de repactuação, deve incidir o IPCA-E."
978,EXCLUIR,"Excluído por regra: aguardando julgamento, irrelevante ou instrução de tema correlato.",Aguardando julgamento de mérito
985,OK,,"O reconhecimento da usucapião extraordinária, mediante o preenchimento dos requisitos específicos, não pode ser obstado em razão de a área usucapienda ser inferior ao módulo estabelecido em lei municipal."
996,OK,,"As teses firmadas, para os fins do artigo 1.036 do CPC/2015, em contrato de promessa de compra e venda de imóvel na planta, no âmbito do Programa Minha Casa, Minha Vida, para os beneficiários das faixas de renda 1, 5, 2 e 3, foram as seguintes: 1.1. Na aquisição de unidades autônomas em construção, o contrato deverá estabelecer, de forma clara, expressa e inteligível, o prazo certo para a entrega do imóvel, o qual não poderá estar vinculado à concessão do financiamento, ou a nenhum outro negócio jurídico, exceto o acréscimo do prazo de tolerância; 1.2. No caso de descumprimento do prazo para a entrega do imóvel, incluído o período de tolerância, o prejuízo do comprador é presumido, consistente na injusta privação do uso do bem, a ensejar o pagamento de indenização, na forma de aluguel mensal, com base no valor locatício de imóvel assemelhado, com termo final na data da disponibilização da posse direta ao adquirente da unidade autônoma. 1.3. É ilícita a cobrança de juros de obra, ou outro encargo equivalente, após o prazo ajustado no contrato para a entrega das chaves da unidade autônoma, incluído o período de tolerância. 1.4. O descumprimento do prazo de entrega do imóvel, computado o período de tolerância, faz cessar a incidência de correção monetária sobre o saldo devedor com base em indexador setorial, que reflete o custo da construção civil, o qual deverá ser substituído pelo IPCA, salvo quando este último for mais gravoso ao consumidor."
1002,OK,,"Nos compromissos de compra e venda de unidades imobiliárias anteriores à Lei nº 13.786/2018, em que é pleiteada a resolução do contrato por iniciativa do promitente comprador de forma diversa da cláusula penal convencionada, os juros de mora incidem a partir do trânsito em julgado da decisão."
1021,OK,,"a) ""A concessão do benefício de previdência complementar tem como pressuposto a prévia formação de reserva matemática, de forma a evitar o desequilíbrio atuarial dos planos. Em tais condições, quando já concedido o benefício de complementação de aposentadoria por entidade fechada de previdência privada, é inviável a inclusão dos reflexos de quaisquer verbas remuneratórias reconhecidas pela Justiça do Trabalho nos cálculos da renda mensal inicial dos benefícios de complementação de aposentadoria."" b) ""Os eventuais prejuízos causados ao participante ou ao assistido que não puderam contribuir ao fundo na época apropriada ante o ato ilícito do empregador poderão ser reparados por meio de ação judicial a ser proposta contra a empresa ex-empregadora na Justiça do Trabalho."""
